VM;Powerstate;Template;CPUs;NICs
SEESMTSSAAUC005;poweredOn;False;2;2
SEESMTSSAAUC011;poweredOn;False;2;1
SEESMTSSAAUC012;poweredOn;False;4;1
SEESMTSSAAUC014;poweredOn;False;4;1
SEESMTSSAAUC015;poweredOn;False;4;1
SEESMTSSAAUC024;poweredOn;False;4;1
SEESMTSSAAUC025;poweredOn;False;2;1
SEESMTSSAAUC026;poweredOn;False;2;1
SEESMTSSAAUC102;poweredOn;False;4;1
SEESMTSSAAUC128;poweredOn;False;2;1
SEESMTSSAAUC145;poweredOn;False;4;1
SEESMTSSAAUC173;poweredOn;False;4;2
SEESMTSSAAUC174;poweredOn;False;4;2
SEESMTSSAAUC175;poweredOn;False;4;1
SEESMTSSAAUC182;poweredOn;False;2;1
SEESMTSSAAUP015;poweredOn;False;2;2
SEESMTSSAAUP016;poweredOn;False;2;2
SEESMTSSAAUP029;poweredOn;False;4;1
SEESMTSSAAUP030;poweredOn;False;4;2
SEESMTSSAAUP031;poweredOn;False;4;2
SEESMTSSAAUP039;poweredOn;False;2;1
SEESMTSSAAUP040;poweredOn;False;4;1
SEESMTSSAAUP041;poweredOn;False;4;1
SEESMTSSAAUP043;poweredOn;False;2;1
SEESMTSSAAUP045;poweredOn;False;2;1
SEESMTSSAAUP046;poweredOn;False;4;1
SEESMTSSAAUP047;poweredOn;False;4;1
SEESMTSSAAUP049;poweredOn;False;2;1
SEESMTSSAAUP050;poweredOn;False;2;1
SEESMTSSAAUP051;poweredOn;False;2;1
SEESMTSSAAUP052;poweredOn;False;2;1
SEESMTSSAAUP053;poweredOn;False;2;1
